Rk,year,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,2024-2025,Princess Ademiluyi,eng ENG,"FW,DF",West Ham,18,2006,0.8,0,2,1,50,2.47,1.23,0,0,10.7,0,0,0,0.2,0.2,0.08,'-0.2,'-0.2,Matches
2,2024-2025,Michelle Agyemang,eng ENG,"FW,MF",Brighton,18,2006,6.4,3,19,7,36.8,2.97,1.09,0.16,0.43,14.7,0,0,0,3.1,3.1,0.16,'-0.1,'-0.1,Matches
3,2024-2025,Olga Ahtinen,fi FIN,MF,Tottenham,Unknown,Unknown,4.4,1,5,4,80,1.13,0.9,0.2,0.25,22.6,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches
4,2024-2025,Asmita Ale,eng ENG,DF,Leicester City,22,2001,15.5,0,3,0,0,0.19,0,0,Unknown,10.9,0,0,0,0.7,0.7,0.23,'-0.7,'-0.7,Matches
5,2024-2025,Laia Aleixandri,es ESP,"DF,MF",Manchester City,23,2000,17.4,1,9,2,22.2,0.52,0.12,0.11,0.5,18.6,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
6,2024-2025,Chloe Arthur,sct SCO,"MF,DF",Crystal Palace,29,1995,3.4,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
7,2024-2025,Verena Aschauer,at AUT,DF,West Ham,30,1994,10.3,0,6,2,33.3,0.58,0.19,0,0,20.8,0,0,0,0.3,0.3,0.06,'-0.3,'-0.3,Matches
8,2024-2025,Brooke Aspin,eng ENG,DF,Crystal Palace,19,2005,2.5,0,1,0,0,0.4,0,0,Unknown,10.5,0,0,0,0.1,0.1,0.05,'-0.1,'-0.1,Matches
9,2024-2025,Viviane Asseyi,fr FRA,"MF,FW",West Ham,30,1993,19.6,9,36,14,38.9,1.83,0.71,0.19,0.5,19.8,5,2,2,5.6,4.1,0.11,3.4,2.9,Matches
10,2024-2025,Izzy Atkinson,ie IRL,"MF,FW",Crystal Palace,23,2001,0.2,0,1,0,0,4.09,0,0,Unknown,27.5,0,0,0,0,0,0.03,0,0,Matches
11,2024-2025,Marit Auée,nl NED,"DF,FW",Brighton,22,2002,5.3,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
12,2024-2025,Simi Awujo,ca CAN,MF,Manchester Utd,20,2003,4,0,2,0,0,0.51,0,0,Unknown,21.6,0,0,0,0.1,0.1,0.04,'-0.1,'-0.1,Matches
13,2024-2025,Rosella Ayane,ma MAR,"FW,MF",Tottenham,28,1996,0.5,0,3,3,100,5.51,5.51,0,0,8.5,0,0,0,0.7,0.7,0.26,'-0.7,'-0.7,Matches
14,2024-2025,Sophie Baggaley,eng ENG,GK,Brighton,27,1996,14,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
15,2024-2025,Jill Baijings,nl NED,MF,Aston Villa,23,2001,8.1,0,8,3,37.5,0.99,0.37,0,0,21.3,0,0,0,0.4,0.4,0.04,'-0.4,'-0.4,Matches
16,2024-2025,Sandy Baltimore,fr FRA,"DF,FW",Chelsea,24,2000,12.4,4,16,8,50,1.29,0.65,0.25,0.5,18.4,0,0,0,1.5,1.3,0.08,2.5,2.7,Matches
17,2024-2025,Julia Bartel,es ESP,MF,Liverpool,20,2004,1.3,0,1,1,100,0.76,0.76,0,0,23,0,0,0,0,0,0.03,0,0,Matches
18,2024-2025,Molly Bartrip,eng ENG,DF,Tottenham,28,1996,22,0,2,1,50,0.09,0.05,0,0,32.5,0,0,0,0,0,0.02,0,0,Matches
19,2024-2025,Agnes Beever-Jones,eng ENG,"FW,MF",Chelsea,21,2003,12.4,9,46,19,41.3,3.71,1.53,0.2,0.47,13.4,0,0,0,6.3,6.3,0.14,2.7,2.7,Matches
20,2024-2025,Marika Bergman-Lundin,se SWE,"MF,FW",West Ham,25,1999,0.1,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
21,2024-2025,Guro Bergsvand,no NOR,DF,Brighton,30,1994,21.3,0,5,1,20,0.23,0.05,0,0,9.7,0,0,0,0.7,0.7,0.13,'-0.7,'-0.7,Matches
22,2024-2025,Alejandra Bernabe,es ESP,DF,Liverpool,22,2001,1.7,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,0,0,Matches
23,2024-2025,Alejandra Bernabe,es ESP,DF,Chelsea,22,2001,0.2,0,3,0,0,16.88,0,0,Unknown,18.8,0,0,0,0.2,0.2,0.06,'-0.2,'-0.2,Matches
24,2024-2025,Emma Bissell,eng ENG,"FW,MF",Everton,22,2001,2.5,0,6,0,0,2.44,0,0,Unknown,22.4,0,0,0,0.2,0.2,0.04,'-0.2,'-0.2,Matches
25,2024-2025,Nathalie Björn,se SWE,DF,Chelsea,27,1997,10.9,1,6,1,16.7,0.55,0.09,0.17,1,10.7,0,0,0,0.9,0.9,0.15,0.1,0.1,Matches
Rk,2024-2025,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,2024-2025,Stina Blackstenius,se SWE,"FW,MF",Arsenal,28,1996,8.2,5,34,15,44.1,4.14,1.82,0.15,0.33,11.7,0,0,0,7.2,7.2,0.21,'-2.2,'-2.2,Matches
27,2024-2025,Annabel Blanchard,eng ENG,"MF,FW",Crystal Palace,23,2001,12.5,4,20,6,30,1.6,0.48,0.1,0.33,17,1,2,2,4,2.5,0.13,0,'-0.5,Matches
28,2024-2025,Laura Blindkilde,eng ENG,"MF,FW",Manchester City,20,2003,4.1,0,4,2,50,0.99,0.49,0,0,14.7,0,0,0,0.3,0.3,0.07,'-0.3,'-0.3,Matches
29,2024-2025,Missy Bo Kearns,eng ENG,MF,Aston Villa,23,2001,10.7,0,15,5,33.3,1.41,0.47,0,0,21.2,1,0,0,1,1,0.07,'-1,'-1,Matches
30,2024-2025,Gemma Bonner,eng ENG,DF,Liverpool,33,1991,17,0,15,3,20,0.88,0.18,0,0,8.6,0,0,0,1.7,1.7,0.11,'-1.7,'-1.7,Matches
31,2024-2025,CJ Bott,nz NZL,DF,Leicester City,29,1995,13.4,0,6,1,16.7,0.45,0.07,0,0,22.4,0,0,0,0.3,0.3,0.04,'-0.3,'-0.3,Matches
